name,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp10-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp20-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp40-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp10-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp40_2050.nc
Sabatier,0.019283254536921025,0.03547210725930713,0.004616530420602289,0.002216403014084572,0.03911291258073327,1.1653415385012038,0.0058360625905535144,0.00028277309078660295,0.0002774872630573874,0.00039235346838769713,0.0003351359102151441,0.04848201464258145,0.031279334786199806,0.0026295775953870427,0.011015635443403718,0.04503247014000581,0.041520058560195736,0.014578940751942122,0.017886744862768974,0.00016173799830640115,0.0037626434620992074,0.04987906457803552,0.006136791217021479,0.006935407859181678,0.03002926326100381,0.003490007504932299,0.007053156762882836,0.003297260125139783,0.028804321364188076,0.00013816258730616428,0.030547846581331525,0.04964841518033451,5.2210820198472985e-05,0.015673342434732354,0.0037022114435144473,0.00927220927940339
V2G,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845
agriculture machinery oil,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,9972.5607416,9447.68912362,8397.94588766,7348.2026517,6298.45941575
battery,973208.470579343,935284.3362647005,897526.089219932,818673.9889377737,736793.6830508385,669504.6615982892,950312.9703200717,922797.3565480015,895805.2976616934,871101.6481364224,821879.3339004687,903273.7433753336,821822.5258046767,674731.5433577761,537137.394996888,416367.21906510595,959398.7811582675,947241.8770175993,919322.6548470597,891013.250681416,861402.4509892968,953666.2289150066,938521.5232329502,908849.9337253486,883457.8032690191,864279.7039512119,950250.585175457,931496.459477629,903834.785628757,880942.3183398154,860072.9670182541,967753.5617102821,962184.3272021237,952485.617109767,941929.3757665767,933402.0508370725
battery charger,146551.75982546044,140994.1301075206,135334.86852129197,123578.47104405561,111678.42551467996,102007.87018179205,142799.5480522767,138309.42464689226,133461.15306009114,128410.50200999252,119337.99719969259,136682.58407937436,125236.43978760426,104062.90028098393,83884.26792361368,65880.98130084878,144399.34620925618,142377.51355739136,137686.39210807768,133668.32758797554,129522.3660134165,144109.90049867556,142186.15636522087,138108.16404351464,134535.863626985,131847.16741028777,143606.1367903529,141175.71739584528,136879.41116374478,133191.32734131513,130486.9860832797,145810.99819633653,145060.49727559873,143741.764984894,142290.85071235112,141103.38271961702
battery discharger,149573.76353307857,143901.53145462676,138125.57178496107,126126.74885471916,113981.31574519143,104111.3465389695,145744.1784284259,141161.4654178747,136213.21895033316,131058.41980800101,121798.83336042316,139501.07821650812,127818.90611771027,106208.75285108725,85614.02244159358,67239.49497540171,147376.96558511164,145313.44127579147,140525.5854956885,136424.66556742435,132193.21125456668,147081.55129379497,145118.1381593625,140956.05467470805,137310.09082952808,134565.95174441912,146567.3996119937,144086.8632046981,139701.9640182862,135937.82922929936,133177.72249073893,148817.7268612507,148051.75006654358,146705.82455839397,145224.99137995543,144013.03693491948
biogas,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133,345558031.32586133
biogas to gas,39447.27196759238,39447.27694915529,39447.26608977868,39447.26489092274,39447.27927325643,39447.570896385936,39447.26653725916,39447.26395370745,39447.2639675738,39447.264018929825,39447.26399322858,39447.28093086587,39447.274317037445,39447.264910336184,39447.26848130026,39447.27852191341,39447.27670764653,39447.268698764376,39447.270647266494,39447.26391903761,39447.26564945431,39447.28575074771,39447.26655316843,39447.26646361443,39447.273816156034,39447.26536281519,39447.26656175912,39447.26547534787,39447.27568472163,39447.26391009257,39447.27198439832,39447.28133772562,39447.263874663804,39447.27077930379,39447.26565608001,39447.267827345524
co2,30029214.08190995,30124330.37458222,30163269.73338008,30316890.556482896,30533343.138790414,30632030.747069545,29455684.851479284,28967158.834895257,27417466.077097274,26533229.62841499,25342921.09836723,31309852.40400593,32537809.026264165,33371772.693643264,34577233.661846004,34977074.86944304,30064348.171632696,30058631.755229793,30048322.527991563,30143367.296383977,30251754.850543678,30207028.572935294,30347758.95393557,30715937.440782305,30717240.127198137,30517916.208284106,30227002.06188943,30458103.525485724,30507237.833411064,29907260.799234822,27617756.499982655,30056543.98579676,30076140.415395007,30128640.271609478,30200458.70959985,30245515.425479453
co2 sequestered,200064375.23234576,200064133.64916286,200064286.97883487,200064466.14469057,200064563.09060296,200064817.29763275,200064227.08109954,200064753.49590367,200063878.67511117,200064119.9924638,200062790.72422513,200064868.6516638,200073140.32810584,200064941.37596688,200076180.01670644,200094629.8859291,200064268.41978803,200064209.25239912,200064451.09093392,200064414.73906764,200064278.43937933,200064150.72098756,200063812.02052706,200063562.78904793,200063498.14179772,200063522.8350797,200064099.38170415,200063989.97727403,200064573.3438886,200063366.70895913,200059238.94764587,200064099.7572196,200064071.3542561,200064210.1505286,200064135.59925053,200064199.86403236
co2 stored,51740.318555038946,53826.322367600376,53297.92118602715,45926.25759252026,41580.43707632992,39834.88227391892,53838.78655756454,50872.75642386494,28886.020129054323,6592.990363480122,0.0034101711598459135,61913.196529804976,117177.80434616446,150090.58576272632,212625.82130236135,233565.45713323978,53898.71068987639,56065.161246436495,50320.11880303225,46863.61931941048,44885.036429959575,48473.22736513909,45055.36196213669,36563.0656875601,34222.93872546599,33969.90962985344,46501.06690317462,41632.97580028295,49453.020437022096,36493.643604250916,0.17377925405219097,50747.317916026615,49829.2699895944,48527.10159262123,46671.79395729241,45393.88202378506
electricity distribution grid,2006674.1337434489,1984335.7767849683,1962029.475854515,1915772.7761912562,1869182.3375755944,1821983.7589752143,1962273.5796261628,1917354.2851277867,1813672.9911492374,1716414.8356849481,1624712.8563894236,1973812.6654198917,1940913.993994621,1882657.4247245437,1825594.3327490394,1762813.5383715401,1991323.6160183859,1972840.5722114674,1936646.0291821386,1907364.2155696219,1878966.5837775574,2005731.314422974,2002016.8598619031,1994559.2101245644,1986572.7541006068,1979892.08698903,2005307.2834891048,2001120.585126953,1988995.9774956363,1980169.3327957832,1986393.2213417927,2004711.958749857,2003295.7239801819,2000429.0074091016,1996675.9772336925,1992156.2818492178
gas,1431475245.2614818,1431408901.834153,1432598009.67751,1431444718.9962854,1431356179.5724204,2206773273.7751026,1431484753.7794337,1431277508.9935672,1431183171.06949,1430920281.1549857,1430766324.2233555,1431348439.0124452,1431386572.6786485,1431293763.0041928,1431281839.8485117,1431130070.4127984,1431394478.7862124,1431499529.8567967,1431456118.5390685,1431370466.8923302,1431500800.7889714,1431380977.2124982,1431467882.0279531,1431536354.3547199,1431433583.3621397,1431529326.6009119,1431517102.0681052,1431514543.1869168,1431483510.5398152,1431482200.31322,1431569441.5425947,1431390530.3752444,1431380317.0251467,1431505037.7406125,1431514807.1145494,1431503102.2637143
gas for industry,0.026987631019798286,0.047956246084888576,0.006903810489619744,0.002880916772124209,0.049165059052667104,1.5841356381581413,0.009356525004500682,0.00041600109525496975,0.0005556530318546749,0.0005639824532135407,0.0007928665499381538,0.0668415594116869,0.06130164682505779,0.006198800184384012,0.03138343239270913,0.11201073444280674,0.05018938105972737,0.02235514303773556,0.027483475034083327,0.000289428549328008,0.005255480228381515,0.06260612551161415,0.008831878873579058,0.010651311785990103,0.05090753260962977,0.006292432091605349,0.01065387500383963,0.006029616248120817,0.05629039281846637,0.0005096198156859799,0.19158386377545966,0.06521199280676804,7.804947573575305e-05,0.023253622627649406,0.00556524664626501,0.016110303317203645
gas for industry CC,30143.33315400802,30143.330626746996,30143.329940788437,30143.329298558296,30143.336468349175,30142.932827765646,30143.329319151562,30143.32822593425,30143.328128530855,30143.328258652946,30143.32786554488,28636.16818496821,27128.990441446604,24114.6625155463,21100.327612343768,18085.983976413743,30143.3306771192,30143.32571701204,30143.327800246476,30143.32823529255,30143.32976594188,30143.349519204425,30143.330090936044,30143.328343123518,30143.320833173428,30143.32831114184,30143.32879060658,30143.328888691045,30143.32295804175,30143.3279813506,30143.144554537266,30143.330476291976,30143.32827798478,30143.33186184646,30143.32980095114,30143.328501927183
gas pipeline,228593.85295883755,228597.22599528378,228615.16132386916,228646.8536374254,228602.541858054,228733.08375890212,228484.19375349878,228367.0399997733,228271.88430818458,228247.60433333795,228305.17960657898,228440.49176670486,228383.24795640985,228349.91837564178,228335.70034092903,228469.89630773422,228601.05289335476,228615.35321160205,228598.81112038056,228585.54464148663,228512.74089946243,228605.87385256248,228598.95729785736,228630.3825352333,228620.68747672264,228652.45707490382,228601.79379978852,228644.58979956293,228625.9340440086,228648.2996671814,228659.2663878124,228641.53803075638,228592.11024924665,228590.76119792205,228580.88031836727,228626.87222738602
gas pipeline new,2191.39551894841,2181.245575141103,2124.8449580133497,2036.6159662368532,1921.0473147850023,1931.1153966361553,1951.8786801038239,1668.7020301622058,1181.9556211550541,1115.2586225254038,1103.1402455199996,2064.8548377194693,2044.763906195211,1375.218627642973,1118.3204786246101,1010.8319368702747,2217.9927112099044,2207.7118755212555,2055.01671858616,2004.1648566927695,2000.3449717031463,2181.1330473351077,2245.4877448302827,2469.955236024662,2600.2582182992146,2544.5881064802497,2323.899933462745,2400.151611068322,2636.637179085987,2863.1789155279325,2992.760181114152,2226.976480600872,2254.3302429241144,2271.1506742575925,2229.2562266102123,2297.941677655771
