,sens_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemItranIp0.1-wv2g_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.1_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.08_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.06_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.04_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.02_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.1-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.08-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.06-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.04-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.02-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-nov2g_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc
H2 Electrolysis,101.10155916877774,100.94129085325945,101.09040251378299,101.28923407173436,101.41219950385594,101.5974631663414,100.29607834228946,100.5734161544761,100.92215916135876,101.24916916606246,101.55912701118133,102.42609682073454,101.87237479845244
H2 Fuel Cell,7.349842161198506e-08,7.746071847266852e-07,3.032311549986975e-06,2.3307311118441516e-06,1.92612769118602e-06,4.045020602854875e-06,1.487975224422677e-07,7.947330184515232e-08,6.637189734966769e-08,6.5823815625267e-08,9.791105689908041e-08,5.877255705594219e-07,2.1854978257204262e-06
Pumped hydro storage,10.020457420558204,10.020451776989923,10.020453930976498,10.020471059187114,10.020522845690403,10.02047815444933,10.020476892122982,10.020480570400123,10.020456771270148,10.02046206598479,10.02046611042266,10.020515484842662,10.020521866068977
Hydroelectricity,18.347239735502036,18.347187264327946,18.34718719240636,18.347329368627353,18.34734841464988,18.347329348615258,18.347267094927304,18.34734829027968,18.347239696970018,18.347239729583922,18.34723973562211,18.34739799220393,18.347343261176555
Run of river,14.259058169615319,14.259069413079903,14.259067682530416,14.259089063800698,14.25908935033919,14.259087277650917,14.25908993144621,14.259089970978993,14.2590817469249,14.259097655199616,14.259084847172423,14.259074787739577,14.259079506557246
Nuclear,89.36877529664214,89.3483299995642,89.35000948011972,89.3513044174525,89.35518024094077,89.3598450841307,89.3278414035936,89.33426428722095,89.34461368668805,89.35687384810794,89.36357492522129,89.32337833817978,89.36925944026896
Onshore wind,164.29575430367137,163.68328621163616,163.70923486485145,163.85745554733327,164.19897648947875,164.55003091786713,163.6016866275258,163.8600738279734,164.16825356827354,164.53400468952063,164.81569055497698,164.36265703253136,165.20625419681176
Offshore wind,54.61626641468804,55.17765654130501,55.16299383280218,55.31076101522848,55.327865224696055,55.34367423030716,52.90365779880504,53.60460057433959,54.37449608278918,54.931611120852736,55.292634558612214,56.443370082618834,55.509583245331044
Home battery storage,4.252438959438388e-07,4.817399325985166e-06,1.8648336330640694e-05,1.37460400170362e-05,1.1972734951700822e-05,2.454629935175167e-05,9.258301078493851e-07,4.612775439791402e-07,3.9514219893605257e-07,4.0425630944252665e-07,6.431241999624245e-07,4.90864344464564e-06,1.3723625998738283e-05
Solar thermal,6.945686436799084e-08,1.8945495637381354e-06,7.477690345312038e-06,5.6092899270043286e-06,4.269505514526669e-06,8.90815441432441e-06,1.6122757321591323e-07,6.945598303730831e-08,6.948681155988002e-08,6.792645962377339e-08,8.089414541530489e-08,1.2931567031397246e-06,5.3580088678708425e-06
Solar utility,28.462611434884884,27.189389524424666,27.069472164381406,27.016528085390508,26.88501005289201,26.714712578461846,30.355692785180118,29.398370725727524,28.527402800212617,27.801579291491485,27.34505990330949,32.34895451191898,26.731472267948188
Solar rooftop,32.003118334632724,31.388220421412857,31.30736709627992,31.197362649942413,31.028351506229313,30.668922925463182,33.59902361672549,33.016796878402594,32.22867813740801,31.57258004025075,30.92374477875804,27.32806773621138,29.934870696992107
Battery storage,13.933653043997625,14.993840375180392,15.177736000762383,15.366807538226865,15.605989624198736,15.919316750165827,11.5869577949952,12.375817453732768,13.254272700917127,14.197548008780663,15.231855040098063,22.906541371732242,16.172065713337382
co2 sequestered,2.0000253275483795,2.000127851032256,2.0001278510552587,2.0000327442214303,1.999909515760546,2.000032744232238,1.9998953904210937,2.0000640436349912,2.000166438929486,2.0002211790396194,1.9998702346074744,1.9997565773215797,2.000179273482133
industry methanol,8.79886046619074e-05,8.618525154213306e-05,8.618525154213306e-05,9.258924899129559e-05,8.837132775911236e-05,9.258924899129559e-05,8.601325071344384e-05,8.832274749423155e-05,9.099253472717542e-05,8.79886046619074e-05,9.099253472717542e-05,8.541503880166131e-05,8.56742299533952e-05
kerosene for aviation,0.006924796635283357,0.006694297187597079,0.006694297187597079,0.007587715218797299,0.007935409951723411,0.007587715218797299,0.007660993422598438,0.007361301650498538,0.006713148395572101,0.006924796635283357,0.006713148395572101,0.007371570548950513,0.0068694342719932385
naphtha for industry,0.003233964212103848,0.002835710976870237,0.002835710976870237,0.003259680000382012,0.0032500670580121725,0.003259680000382012,0.0030750179325123765,0.0033104066265680567,0.0028752360920382917,0.003233964212103848,0.0028752360920382917,0.002884877938212381,0.0028040711869663027
offwind-float,2.955775427640798,3.2065087691381855,3.3684508625776624,3.344080249670922,3.445301941208719,3.6412474664116696,2.9557618809233848,2.95576188357805,2.955766924434952,2.9557496882549827,3.3106075091836624,5.195723960762932,3.8769259633988087
shipping methanol,0.004996087262739731,0.004877626617878519,0.004877626617878519,0.0049099520145229215,0.005009945730493553,0.0049099520145229215,0.0048103507405377,0.005036943335698315,0.005066199374796809,0.004996087262739731,0.005066199374796809,0.00520772011711381,0.004920210958872619
solar-hsat,55.3442890807615,56.225958152193925,56.490258287414235,56.71017275135183,56.977443332762306,57.47744472752471,53.04696291465044,54.167502670856706,55.25898890253345,56.20101398598284,56.844233705732904,52.80600017005305,57.873624404310426
